Age,Conc_tricaine,Recovery,Not_SM_or_TR,Length
40,0.008,1,1,12
40,0.008,1,1,15
40,0.008,1,1,15.5
40,0.008,1,1,11
40,0.008,1,1,13.5
40,0.008,1,1,12
40,0.008,1,1,16.5
40,0.008,1,1,15.5
40,0.008,1,1,9
40,0.008,1,1,12
40,0.008,1,1,11
40,0.008,1,1,12.5
40,0.008,1,1,17
40,0.008,1,1,12
40,0.008,1,1,10.5
40,0.009,1,1,11
40,0.009,0,1,13
40,0.009,1,1,14.5
40,0.009,1,1,9.5
40,0.009,1,1,15
40,0.009,1,1,18.5
40,0.009,1,1,11
40,0.009,0,1,13.5
40,0.009,1,1,14
40,0.009,1,1,14
40,0.009,1,1,11
40,0.009,1,1,9
40,0.009,1,1,14.5
40,0.009,0,1,13
40,0.009,0,1,14
40,0.009,0,1,12
40,0.009,0,1,10
40,0.009,1,1,11
40,0.009,1,1,11
40,0.009,0,1,11
40,0.009,1,1,8
40,0.009,0,1,10
40,0.009,0,1,11
40,0.009,1,1,11.5
40,0.009,1,1,9
40,0.009,1,1,12.5
40,0.009,1,1,15
40,0.009,1,1,9
40,0.009,1,1,13.5
40,0.009,1,1,14
40,0.009,1,1,9
40,0.009,1,1,11.5
40,0.009,1,1,9
40,0.009,1,1,9.5
40,0.009,0,1,12
40,0.009,1,1,15.5
40,0.009,1,1,14
40,0.009,1,1,8
40,0.009,1,1,11.5
40,0.009,0,1,13.5
46,0.008,1,1,15
46,0.008,1,1,11
46,0.008,1,1,17
46,0.008,1,1,18.5
46,0.008,1,1,16
46,0.008,1,1,16
46,0.008,1,1,14
46,0.008,1,1,11
46,0.008,1,1,12
46,0.008,1,1,12
46,0.008,1,1,13
46,0.008,1,1,16
46,0.008,1,1,15
46,0.008,1,1,13
46,0.008,1,1,15
46,0.008,1,1,16
46,0.008,1,1,15.5
46,0.008,1,1,18
46,0.008,1,1,17
46,0.008,1,1,11
46,0.008,1,1,16
46,0.008,1,0,15.5
46,0.008,1,1,15
46,0.008,1,1,17
46,0.008,1,1,15
46,0.008,1,1,14
46,0.008,1,1,11
46,0.008,1,1,16
46,0.008,1,1,13
46,0.008,1,1,12
46,0.008,1,1,13
46,0.008,1,1,16
46,0.008,0,1,15
46,0.008,0,1,11
46,0.009,1,1,15
46,0.009,1,1,16
46,0.009,1,1,17
46,0.009,1,1,9
46,0.009,1,1,10
46,0.009,1,1,11
46,0.009,1,1,11.5
46,0.009,1,1,14
